Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
[SFT2-R100-75-7]-18;30;39;29;269;91.5;78;208;448;287;30;13.6;20575.4
[SFT2-R100-75-7]-19;82.5;81;48;288;24;33;176;416;154;30;13.6;2811.4
[SFT2-R100-75-7]-20;22.5;115.5;18;258;39;52.5;183;423;102;30;13.6;8982
[SFT2-R100-75-7]-21;22.5;90;41;281;97.5;30;193;433;405;30;13.6;9973.3
[SFT2-R100-75-7]-22;21;55.5;38;278;22.5;15;111;351;38;30;13.6;8139.4
[SFT2-R100-75-7]-23;79.5;78;54;294;73.5;87;105;345;41;30;13.6;15995.3
[SFT2-R100-75-7]-24;22.5;115.5;27;267;82.5;90;181;421;89;30;13.6;16324.3
[SFT2-R100-75-7]-25;42;27;24;264;18;36;94;334;8;30;5.5;3889.2
[SFT2-R100-75-7]-26;25.5;51;41;281;85.5;43.5;179;419;72;30;12;16947.9
[SFT2-R100-75-7]-27;52.5;25.5;18;258;90;18;124;364;19;30;6.7;11505.6
[SFT2-R100-75-7]-28;82.5;7.5;45;285;6;27;168;408;130;30;13.6;28081.1
[SFT2-R100-75-7]-29;73.5;16.5;21;261;22.5;45;117;357;90;30;13.6;26488.3
[SFT2-R100-75-7]-30;36;18;18;258;18;36;84;324;37;30;8;16568.3
[SFT2-R100-75-7]-31;66;25.5;10;250;61.5;55.5;98;338;2;30;0.4;689
[SFT2-R100-75-7]-32;37.5;31.5;31;271;73.5;109.5;184;424;152;30;13.6;15551.4
[SFT2-R100-75-7]-33;96;63;44;284;24;33;234;474;214;30;13.6;22377.7
[SFT2-R100-75-7]-34;84;55.5;32;272;45;7.5;140;380;265;30;13.6;18115.2
[SFT2-R100-75-7]-35;46.5;78;45;285;82.5;30;142;382;124;30;13.6;26293.3
[SFT2-R100-75-7]-36;36;87;51;291;28.5;31.5;174;414;17;30;3.5;5093.8
[SFT2-R100-75-7]-37;30;97.5;32;272;30;39;158;398;68;30;4.2;2882.7
[SFT2-R100-75-7]-38;40.5;64.5;34;274;73.5;16.5;151;391;123;30;13.6;10429.5
[SFT2-R100-75-7]-39;21;55.5;38;278;30;60;85;325;13;30;8.9;17373.7
[SFT2-R100-75-7]-40;82.5;81;58;298;42;27;223;463;370;30;13.6;23117.2
[SFT2-R100-75-7]-41;16.5;46.5;64;304;54;39;163;403;5;30;0.8;1169.7
[SFT2-R100-75-7]-42;45;37.5;18;258;73.5;87;141;381;73;30;13.6;24282.3
[SFT2-R100-75-7]-43;60;37.5;5;245;31.5;36;91;331;59;30;13.6;9742.1
[SFT2-R100-75-7]-44;94.5;97.5;29;269;91.5;78;99;339;49;30;13.6;23906
[SFT2-R100-75-7]-45;28.5;31.5;31;271;37.5;45;82;322;7;30;13.6;22590.2
[SFT2-R100-75-7]-46;79.5;18;24;264;91.5;78;179;419;143;30;13.6;22389.8
[SFT2-R100-75-7]-47;30;60;53;293;100.5;7.5;205;445;445;30;13.6;25724
[SFT2-R100-75-7]-48;73.5;16.5;22;262;30;97.5;166;406;322;30;13.6;22220.7
[SFT2-R100-75-7]-49;33;40.5;25;265;97.5;30;154;394;207;30;13;21705
[SFT2-R100-75-7]-50;61.5;73.5;42;282;25.5;51;138;378;63;30;13.6;22422.7
[SFT2-R100-75-7]-51;61.5;55.5;21;261;73.5;63;78;318;25;30;13.6;16864.8
[SFT2-R100-75-7]-52;30;97.5;33;273;7.5;7.5;245;485;121;30;13.6;8576.2
[SFT2-R100-75-7]-53;37.5;45;36;276;18;36;106;346;48;30;13.6;23763.1
[SFT2-R100-75-7]-54;60;90;33;273;39;40.5;159;399;197;30;13.6;23393.3
[SFT2-R100-75-7]-55;39;78;60;300;73.5;87;133;373;65;30;13.6;23866.4
[SFT2-R100-75-7]-56;70.5;70.5;43;283;3;90;148;388;334;30;13.6;16190.8
[SFT2-R100-75-7]-57;63;10.5;25;265;42;27;91;331;22;30;13.6;21171.8
[SFT2-R100-75-7]-58;73.5;16.5;27;267;97.5;30;113;353;29;30;9.9;7430.2
[SFT2-R100-75-7]-59;90;18;38;278;61.5;55.5;144;384;42;30;13.6;24157.1
[SFT2-R100-75-7]-60;25.5;51;34;274;60;90;170;410;98;30;13.6;21345.4
[SFT2-R100-75-7]-61;85.5;43.5;18;258;9;102;169;409;31;30;2.2;1833.6
[SFT2-R100-75-7]-62;40.5;64.5;31;271;85.5;72;123;363;97;30;13.6;17622.8
[SFT2-R100-75-7]-63;39;52.5;33;273;85.5;102;145;385;271;30;13.6;20880.6
[SFT2-R100-75-7]-64;39;40.5;28;268;93;115.5;175;415;92;30;5.5;8393
[SFT2-R100-75-7]-65;16.5;21;36;276;33;40.5;117;357;95;30;13.6;21652.5
[SFT2-R100-75-7]-66;82.5;90;48;288;94.5;97.5;103;343;15;30;13.6;18888
[SFT2-R100-75-7]-67;45;37.5;21;261;39;78;133;373;98;30;12.7;24260.4
[SFT2-R100-75-7]-68;93;115.5;44;284;30;30;203;443;233;30;13.6;22496.4
[SFT2-R100-75-7]-69;30;75;55;295;15;64.5;119;359;25;30;13.6;20863.1
[SFT2-R100-75-7]-70;22.5;90;41;281;94.5;34.5;189;429;1111;30;13.6;28531.8
[SFT2-R100-75-7]-71;3;90;48;288;30;30;203;443;130;30;13.6;23595.7
[SFT2-R100-75-7]-72;22.5;70.5;57;297;96;63;178;418;46;30;13.6;23259.8
[SFT2-R100-75-7]-73;45;7.5;9;249;70.5;70.5;133;373;233;30;13.6;14588.4
[SFT2-R100-75-7]-74;39;78;46;286;97.5;52.5;179;419;96;30;9.5;9344.9
[SFT2-R100-75-7]-75;70.5;24;13;253;22.5;45;122;362;50;30;13.6;10075.3
