Order number;Pickup date;Pickup days;Pickup Country;Pickup Zip code;Pickup Start time;Pickup End time;Delivery date;Delivery days;Delivery Country;Delivery Zip code;Delivery Start time;Delivery End time;Kilometers;Revenue;Loading meters;Weight;Pallet exchange
[D-X-100]-29;4/02/2024;1;DE;02625;09:00;13:00;6/02/2024;0;DE;85098;09:00;13:00;444;2650;13.6;10546.7;No
[D-X-100]-30;6/02/2024;1;DE;36304;07:00;14:00;9/02/2024;1;DE;92334;08:00;13:00;318;422;13.6;24465.6;No
[D-X-100]-31;3/02/2024;2;DE;06425;08:00;15:00;3/02/2024;3;DE;06258;08:00;13:00;57;220;13.6;1795.0;No
[D-X-100]-32;3/02/2024;3;DE;34454;08:00;14:00;5/02/2024;1;DE;74072;12:00;16:00;371;303;13.6;19359.3;No
[D-X-100]-33;4/02/2024;1;DE;46446;06:00;16:00;6/02/2024;1;DE;76275;08:00;17:00;430;1542;13.6;22250.9;No
[D-X-100]-34;6/02/2024;0;BE;2030;10:00;16:00;6/02/2024;2;NL;3197;06:00;18:00;102;95;11.5;10387.3;No
[D-X-100]-35;5/02/2024;0;DE;40721;09:00;13:00;5/02/2024;0;DE;53879;12:00;16:00;74;243;9;14468.9;No
[D-X-100]-36;6/02/2024;0;DE;59846;10:00;17:00;6/02/2024;1;DE;59425;08:00;16:00;47;30;13.6;14574.9;No
[D-X-100]-37;4/02/2024;1;DE;53501;11:00;13:00;4/02/2024;1;DE;53859;06:00;17:00;39;80;13.6;22253.5;No
[D-X-100]-38;3/02/2024;2;DE;91555;06:00;19:00;5/02/2024;0;NL;7571;06:00;14:00;537;507;13.6;11579.7;No
[D-X-100]-39;5/02/2024;2;DE;31319;08:00;19:00;6/02/2024;1;DE;15230;10:00;14:00;339;1590;10.8;17733.0;No
[D-X-100]-40;11/02/2024;0;DE;06425;10:00;16:00;11/02/2024;1;DE;06258;12:00;14:00;57;546;13.6;4252.1;No
[D-X-100]-41;7/02/2024;1;DE;14163;09:00;13:00;9/02/2024;0;DE;63739;08:00;17:00;605;690;13.6;21464.7;No
[D-X-100]-42;7/02/2024;0;BE;4300;08:00;16:00;7/02/2024;3;BE;8610;06:00;19:00;196;558;13.6;25964.9;No
[D-X-100]-43;5/02/2024;1;DE;37290;08:00;13:00;6/02/2024;0;DE;49406;12:00;17:00;280;431;13.6;23320.0;No
[D-X-100]-44;7/02/2024;4;DE;76646;12:00;17:00;10/02/2024;1;DE;21220;08:00;17:00;595;1196;13.6;22551.0;No
[D-X-100]-45;14/02/2024;3;BE;2431;06:00;14:00;15/02/2024;1;DE;67752;11:00;13:00;307;333;6.1;12158.4;No
[D-X-100]-46;4/02/2024;2;DE;10117;07:00;16:00;4/02/2024;2;DE;23948;09:00;17:00;274;526;13.6;22223.4;No
[D-X-100]-47;8/02/2024;0;DE;01968;07:00;17:00;10/02/2024;1;DE;58566;07:00;15:00;589;355;3.5;5284.8;No
[D-X-100]-48;8/02/2024;0;DE;37213;09:00;17:00;10/02/2024;1;DE;32423;07:00;16:00;209;776;13.6;23798.7;No
[D-X-100]-49;10/02/2024;0;DE;36433;06:00;18:00;10/02/2024;0;DE;31552;06:00;13:00;317;37;0.4;678.6;No
[D-X-100]-50;7/02/2024;0;DE;65510;06:00;16:00;7/02/2024;2;DE;58256;08:00;16:00;196;227;13.6;23490.3;No
[D-X-100]-51;6/02/2024;1;DE;03119;07:00;18:00;10/02/2024;1;DE;21629;07:00;17:00;454;706;13.6;14944.3;No
[D-X-100]-52;6/02/2024;1;DE;27283;12:00;19:00;10/02/2024;0;DE;74889;07:00;14:00;549;31;0.5;903.4;No
[D-X-100]-53;8/02/2024;1;DE;59065;08:00;13:00;8/02/2024;2;DE;53909;08:00;19:00;159;57;3.6;2183.4;No
[D-X-100]-54;7/02/2024;1;DE;74254;08:00;16:00;9/02/2024;0;DE;89250;08:00;13:00;174;206;2;1338.6;No
[D-X-100]-55;4/02/2024;3;DE;31249;08:00;19:00;5/02/2024;2;DE;46354;06:00;16:00;298;960;13.6;19129.7;No
[D-X-100]-56;8/02/2024;2;BE;1400;08:00;17:00;14/02/2024;0;DE;73728;11:00;16:00;570;1782;13.6;15331.1;No
[D-X-100]-57;5/02/2024;2;DE;15230;08:00;16:00;10/02/2024;0;DE;53113;07:00;18:00;664;753;13.6;22150.1;No
[D-X-100]-58;5/02/2024;2;DE;82266;09:00;16:00;5/02/2024;1;DE;86833;07:00;16:00;52;672;13.6;23930.0;No
[D-X-100]-59;3/02/2024;2;DE;48529;08:00;19:00;4/02/2024;2;DE;44787;12:00;17:00;126;463;13.6;20955.6;No
[D-X-100]-60;4/02/2024;4;DE;09661;08:00;19:00;4/02/2024;1;DE;96193;07:00;16:00;273;257;4.5;1786.9;No
[D-X-100]-61;4/02/2024;2;DE;01683;06:00;13:00;6/02/2024;1;DE;91486;12:00;19:00;284;682;13.6;11327.3;No
[D-X-100]-62;7/02/2024;0;DE;39359;07:00;13:00;10/02/2024;3;DE;78183;07:00;14:00;686;4789;13.6;11359.1;No
[D-X-100]-63;8/02/2024;0;BE;6000;08:00;13:00;12/02/2024;1;DE;70178;08:00;13:00;547;3391;13.6;4705.0;No
[D-X-100]-64;5/02/2024;2;NL;4906;07:00;13:00;7/02/2024;1;DE;56564;07:00;16:00;293;1057;13.6;21085.3;No
[D-X-100]-65;9/02/2024;0;NL;5211;12:00;16:00;12/02/2024;0;DE;77652;12:00;15:00;545;1508;13.6;22124.0;No
[D-X-100]-66;7/02/2024;0;DE;76327;08:00;14:00;10/02/2024;1;DE;83714;08:00;19:00;336;499;13.6;16336.6;No
[D-X-100]-67;6/02/2024;0;DE;07929;06:00;15:00;6/02/2024;0;DE;86473;11:00;13:00;355;588;13.6;21936.7;No
[D-X-100]-68;8/02/2024;1;DE;90402;12:00;17:00;10/02/2024;0;BE;9000;08:00;16:00;668;523;8.9;15805.6;No
[D-X-100]-69;7/02/2024;0;DE;84508;08:00;17:00;7/02/2024;1;DE;08412;06:00;16:00;410;141;13.6;12308.4;No
[D-X-100]-70;3/02/2024;4;DE;36205;08:00;19:00;3/02/2024;4;DE;59067;08:00;13:00;205;87;3.9;5700.4;No
[D-X-100]-71;3/02/2024;3;DE;59065;08:00;15:00;4/02/2024;3;DE;53909;06:00;16:00;159;408;13.6;27433.4;No
[D-X-100]-72;5/02/2024;0;DE;50226;06:00;13:00;5/02/2024;1;DE;26506;08:00;13:00;359;95;2.3;3915.3;No
[D-X-100]-73;6/02/2024;1;DE;99759;08:00;19:00;8/02/2024;0;DE;31275;07:00;13:00;184;1067;13.6;20994.1;No
[D-X-100]-74;3/02/2024;3;DE;94469;12:00;19:00;6/02/2024;3;DE;29352;08:00;18:00;653;1055;13.6;13941.6;No
[D-X-100]-75;4/02/2024;2;DE;16761;08:00;14:00;6/02/2024;0;DE;64283;10:00;13:00;583;20;1.2;2141.0;No
[D-X-100]-76;6/02/2024;0;DE;99869;08:00;16:00;9/02/2024;1;DE;45879;08:00;16:00;353;815;13.6;8226.9;No
[D-X-100]-77;5/02/2024;0;DE;84030;08:00;17:00;5/02/2024;2;DE;88212;06:00;17:00;253;816;13.6;21138.7;No
[D-X-100]-78;9/02/2024;0;DE;36088;08:00;17:00;12/02/2024;0;DE;52428;08:00;17:00;318;409;5;3435.7;No
[D-X-100]-79;8/02/2024;0;BE;7180;08:00;14:00;8/02/2024;1;DE;70599;06:00;18:00;566;1583;13.6;18803.7;No
[D-X-100]-80;9/02/2024;0;DE;91171;06:00;19:00;10/02/2024;1;DE;74072;07:00;19:00;202;57;0.8;1310.2;No
[D-X-100]-81;11/02/2024;1;DE;24149;08:00;14:00;13/02/2024;0;DE;46240;08:00;19:00;442;716;9;11020.1;No
[D-X-100]-82;6/02/2024;1;DE;58739;06:00;15:00;6/02/2024;0;DE;94032;08:00;14:00;649;382;1.2;2013.6;No
[D-X-100]-83;11/02/2024;1;DE;99867;07:00;17:00;13/02/2024;1;DE;26122;07:00;13:00;445;443;13.6;22327.1;No
[D-X-100]-84;9/02/2024;2;NL;3011;12:00;14:00;11/02/2024;0;DE;58095;08:00;16:00;276;631;13.6;26231.6;No
[D-X-100]-85;6/02/2024;2;DE;51063;07:00;14:00;8/02/2024;2;DE;73630;08:00;17:00;378;381;13.6;24446.6;No
[D-X-100]-86;6/02/2024;1;DE;34125;07:00;17:00;9/02/2024;0;BE;8500;06:00;14:00;502;778;13.6;11768.7;No
[D-X-100]-87;5/02/2024;0;DE;84069;06:00;17:00;7/02/2024;1;DE;89250;12:00;19:00;240;351;13.6;23204.6;No
[D-X-100]-88;7/02/2024;1;DE;94315;06:00;16:00;13/02/2024;0;NL;6512;06:00;18:00;704;1102;13.6;24065.4;No
[D-X-100]-89;9/02/2024;0;DE;46446;07:00;15:00;13/02/2024;0;DE;76275;06:00;16:00;430;1247;11.1;19453.4;No
[D-X-100]-90;10/02/2024;1;DE;66386;06:00;17:00;10/02/2024;1;DE;27243;08:00;19:00;644;1514;13.6;16726.3;No
[D-X-100]-91;4/02/2024;1;DE;04509;08:00;16:00;4/02/2024;2;DE;06279;08:00;16:00;81;4;1.1;669.7;No
[D-X-100]-92;5/02/2024;2;DE;59846;08:00;15:00;7/02/2024;1;DE;72766;06:00;18:00;427;87;7.6;5687.4;No
[D-X-100]-93;12/02/2024;0;DE;47059;08:00;18:00;16/02/2024;2;DE;04249;06:00;16:00;466;3816;13.6;21254.1;No
[D-X-100]-94;6/02/2024;0;NL;1551;06:00;19:00;10/02/2024;0;DE;86641;07:00;19:00;765;2439;13.6;7540.0;No
[D-X-100]-95;4/02/2024;2;DE;36157;06:00;18:00;5/02/2024;1;DE;48624;07:00;16:00;345;1295;13.6;5285.0;No
[D-X-100]-96;4/02/2024;2;DE;25436;08:00;16:00;10/02/2024;0;DE;75428;07:00;17:00;672;459;2.4;1157.7;No
[D-X-100]-97;7/02/2024;0;DE;48431;06:00;19:00;9/02/2024;0;DE;64283;08:00;14:00;348;376;10.3;19459.0;No
[D-X-100]-98;6/02/2024;0;BE;7140;08:00;19:00;12/02/2024;0;DE;92224;07:00;16:00;687;2232;13.6;24944.7;No
[D-X-100]-99;7/02/2024;0;DE;37213;06:00;13:00;9/02/2024;0;DE;32457;08:00;17:00;201;202;13.6;10967.9;No
[D-X-100]-100;13/02/2024;2;DE;15236;08:00;19:00;15/02/2024;0;DE;75015;08:00;13:00;711;2466;13.6;11621.5;No
