Order number;Pickup date;Pickup days;Pickup Country;Pickup Zip code;Pickup Start time;Pickup End time;Delivery date;Delivery days;Delivery Country;Delivery Zip code;Delivery Start time;Delivery End time;Kilometers;Revenue;Loading meters;Weight;Pallet exchange
[D-X-50]-20;4/02/2024;2;DE;56642;06:00;17:00;4/02/2024;2;DE;24539;08:00;16:00;560;2322;13.6;22073.7;No
[D-X-50]-21;7/02/2024;1;DE;86633;12:00;18:00;9/02/2024;0;DE;35260;07:00;19:00;390;917;13.6;21269.8;No
[D-X-50]-22;7/02/2024;4;BE;2800;07:00;16:00;11/02/2024;3;DE;28195;08:00;19:00;462;474;13.6;3794.7;No
[D-X-50]-23;4/02/2024;1;DE;50735;11:00;16:00;5/02/2024;0;DE;76461;06:00;13:00;329;124;13.6;10564.2;No
[D-X-50]-24;9/02/2024;0;DE;32584;07:00;14:00;10/02/2024;0;DE;74232;12:00;15:00;511;354;13.6;4775.9;No
[D-X-50]-25;4/02/2024;1;DE;61239;07:00;19:00;4/02/2024;2;BE;2000;12:00;13:00;390;735;13.6;22634.6;No
[D-X-50]-26;9/02/2024;2;DE;34431;06:00;18:00;9/02/2024;0;DE;60311;12:00;17:00;246;488;13.6;22399.7;No
[D-X-50]-27;6/02/2024;1;DE;93086;12:00;18:00;7/02/2024;2;DE;73495;07:00;16:00;230;205;13.6;9078.3;No
[D-X-50]-28;7/02/2024;1;DE;40210;08:00;17:00;8/02/2024;0;DE;53111;07:00;16:00;71;118;13.6;23588.1;No
[D-X-50]-29;4/02/2024;1;DE;02625;09:00;13:00;6/02/2024;0;DE;85098;09:00;13:00;444;2650;13.6;10546.7;No
[D-X-50]-30;6/02/2024;1;DE;36304;07:00;14:00;9/02/2024;1;DE;92334;08:00;13:00;318;422;13.6;24465.6;No
[D-X-50]-31;3/02/2024;2;DE;06425;08:00;15:00;3/02/2024;3;DE;06258;08:00;13:00;57;220;13.6;1795.0;No
[D-X-50]-32;3/02/2024;3;DE;34454;08:00;14:00;5/02/2024;1;DE;74072;12:00;16:00;371;303;13.6;19359.3;No
[D-X-50]-33;4/02/2024;1;DE;46446;06:00;16:00;6/02/2024;1;DE;76275;08:00;17:00;430;1542;13.6;22250.9;No
[D-X-50]-34;6/02/2024;0;BE;2030;10:00;16:00;6/02/2024;2;NL;3197;06:00;18:00;102;95;11.5;10387.3;No
[D-X-50]-35;5/02/2024;0;DE;40721;09:00;13:00;5/02/2024;0;DE;53879;12:00;16:00;74;243;9;14468.9;No
[D-X-50]-36;6/02/2024;0;DE;59846;10:00;17:00;6/02/2024;1;DE;59425;08:00;16:00;47;30;13.6;14574.9;No
[D-X-50]-37;4/02/2024;1;DE;53501;11:00;13:00;4/02/2024;1;DE;53859;06:00;17:00;39;80;13.6;22253.5;No
[D-X-50]-38;3/02/2024;2;DE;91555;06:00;19:00;5/02/2024;0;NL;7571;06:00;14:00;537;507;13.6;11579.7;No
[D-X-50]-39;5/02/2024;2;DE;31319;08:00;19:00;6/02/2024;1;DE;15230;10:00;14:00;339;1590;10.8;17733.0;No
[D-X-50]-40;11/02/2024;0;DE;06425;10:00;16:00;11/02/2024;1;DE;06258;12:00;14:00;57;546;13.6;4252.1;No
[D-X-50]-41;7/02/2024;1;DE;14163;09:00;13:00;9/02/2024;0;DE;63739;08:00;17:00;605;690;13.6;21464.7;No
[D-X-50]-42;7/02/2024;0;BE;4300;08:00;16:00;7/02/2024;3;BE;8610;06:00;19:00;196;558;13.6;25964.9;No
[D-X-50]-43;5/02/2024;1;DE;37290;08:00;13:00;6/02/2024;0;DE;49406;12:00;17:00;280;431;13.6;23320.0;No
[D-X-50]-44;7/02/2024;4;DE;76646;12:00;17:00;10/02/2024;1;DE;21220;08:00;17:00;595;1196;13.6;22551.0;No
[D-X-50]-45;14/02/2024;3;BE;2431;06:00;14:00;15/02/2024;1;DE;67752;11:00;13:00;307;333;6.1;12158.4;No
[D-X-50]-46;4/02/2024;2;DE;10117;07:00;16:00;4/02/2024;2;DE;23948;09:00;17:00;274;526;13.6;22223.4;No
[D-X-50]-47;8/02/2024;0;DE;01968;07:00;17:00;10/02/2024;1;DE;58566;07:00;15:00;589;355;3.5;5284.8;No
[D-X-50]-48;8/02/2024;0;DE;37213;09:00;17:00;10/02/2024;1;DE;32423;07:00;16:00;209;776;13.6;23798.7;No
[D-X-50]-49;10/02/2024;0;DE;36433;06:00;18:00;10/02/2024;0;DE;31552;06:00;13:00;317;37;0.4;678.6;No
[D-X-50]-50;7/02/2024;0;DE;65510;06:00;16:00;7/02/2024;2;DE;58256;08:00;16:00;196;227;13.6;23490.3;No
